datetime,open,high,low,close,volume
2024-04-25 09:30:00,169.60001,170.61,168.15109,169.059998,25922254.0
2024-04-25 13:30:00,169.054993,170.035004,168.86,169.89999,15774502.0
2024-04-26 09:30:00,169.87,171.34,169.53999,169.875,22767801.0
2024-04-26 13:30:00,169.88,170.11,169.19,169.28999,14670957.0
2024-04-29 09:30:00,173.39,176.029999,173.13,174.87,40805731.0
2024-04-29 13:30:00,174.87,175.105,173.12,173.49001,16312452.0
2024-04-30 09:30:00,173.202,174.99001,172.64999,173.2753,23515996.0
2024-04-30 13:30:00,173.30499,173.8799,170.020004,170.089996,20534944.0
2024-05-01 09:30:00,170.0,171.72,169.11,171.12,19693029.0
2024-05-01 13:30:00,171.125,172.69,169.25,169.28999,22079470.0
2024-05-02 09:30:00,172.42,172.78,170.89,172.6989,35193698.0
2024-05-02 13:30:00,172.7,173.41499,172.41,173.089996,24725796.0
2024-05-03 09:30:00,186.67,187.0,182.66,185.36011,96831277.0
2024-05-03 13:30:00,185.36,185.99001,183.050003,183.39,43613043.0
2024-05-06 09:30:00,182.354,184.17,180.58121,180.59,45668988.0
2024-05-06 13:30:00,180.59,182.020004,180.42,181.7,23476058.0
2024-05-07 09:30:00,183.45,184.89999,181.32001,182.56,47929888.0
2024-05-07 13:30:00,182.56,182.92,182.089996,182.37,15408217.0
2024-05-08 09:30:00,182.71001,182.96001,181.46001,182.3,22545915.0
2024-05-08 13:30:00,182.30499,183.050003,182.295,182.74001,14112617.0
2024-05-09 09:30:00,182.56,184.5,182.12,184.38,25653263.0
2024-05-09 13:30:00,184.39,184.64999,184.059998,184.64999,14663056.0
2024-05-10 09:30:00,184.92,185.089996,182.21001,182.395,26730166.0
2024-05-10 13:30:00,182.39,183.2,182.13,183.0,13665892.0
2024-05-13 09:30:00,185.435,186.92999,184.62,186.6586,39145912.0
2024-05-13 13:30:00,186.66,187.10001,186.070007,186.285,21220698.0
2024-05-14 09:30:00,187.64999,188.3,186.28999,186.53,26419609.0
2024-05-14 13:30:00,186.535,187.91,186.485,187.39,15980475.0
2024-05-15 09:30:00,187.98,190.64999,187.38,190.37,37296345.0
2024-05-15 13:30:00,190.38,190.55,189.5,189.74001,20246251.0
2024-05-16 09:30:00,190.51601,191.095001,189.72501,190.0099945,28884712.0
2024-05-16 13:30:00,190.00050354,190.25999,189.6601,189.89999,13708607.0
2024-05-17 09:30:00,189.52,190.80499,189.4201,189.69,19654132.0
2024-05-17 13:30:00,189.67,190.14999,189.39999,189.92,12426582.0
2024-05-20 09:30:00,189.14999,191.91991,189.0099945,191.465,24572443.0
2024-05-20 13:30:00,191.464,191.62,190.81,191.080002,10340498.0
2024-05-21 09:30:00,191.089996,192.63499,190.9686,192.36659,21733380.0
2024-05-21 13:30:00,192.375,192.72,192.28,192.35001,12530137.0
2024-05-22 09:30:00,192.41,192.82001,191.080002,191.37,15847711.0
2024-05-22 13:30:00,191.3624,191.425,190.28,190.89999,11078092.0
2024-05-23 09:30:00,191.0,191.0,188.42999,188.64011,23184524.0
2024-05-23 13:30:00,188.64999,188.685,186.625,186.91,15565037.0
2024-05-24 09:30:00,188.82001,190.58,188.1113,190.41991,20100322.0
